NFR,Sector,Table,Type,Technology,Fuel,Abatement,Region,Pollutant,Value,Unit,CI_lower,CI_upper,Reference
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-f,Tier 2 Emission Factor,A333_AIRBUS_Jet_14RR071_2,Jet Gasoline and Aviation Gasoline,,,CO,21.19,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-f,Tier 2 Emission Factor,A333_AIRBUS_Jet_14RR071_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.16,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-g,Tier 2 Emission Factor,A343_AIRBUS_Jet_2CM015_4,Jet Gasoline and Aviation Gasoline,,,CO2,6362.65,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-g,Tier 2 Emission Factor,A343_AIRBUS_Jet_2CM015_4,Jet Gasoline and Aviation Gasoline,,,NOx,34.81,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-a,Tier 2 Emission Factor,A306_AIRBUS_Jet_1PW048_2,Jet Gasoline and Aviation Gasoline,,,CO,14.8,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-b,Tier 2 Emission Factor,A310_AIRBUS_Jet_2GE037_2,Jet Gasoline and Aviation Gasoline,,,CO,13.92,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-b,Tier 2 Emission Factor,A310_AIRBUS_Jet_2GE037_2,Jet Gasoline and Aviation Gasoline,,,HC,1.2,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-b,Tier 2 Emission Factor,A310_AIRBUS_Jet_2GE037_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.1,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-c,Tier 2 Emission Factor,A319_AIRBUS_Jet_3CM027_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.06,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-l,Tier 2 Emission Factor,B738_BOEING_Jet_8CM051_2,Jet Gasoline and Aviation Gasoline,,,CO2,2775.47,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-l,Tier 2 Emission Factor,B738_BOEING_Jet_8CM051_2,Jet Gasoline and Aviation Gasoline,,,SOx,0.74,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-l,Tier 2 Emission Factor,B738_BOEING_Jet_8CM051_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.07,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-m,Tier 2 Emission Factor,B742_BOEING_Jet_3GE077_4,Jet Gasoline and Aviation Gasoline,,,H2O,3781.71,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-m,Tier 2 Emission Factor,B742_BOEING_Jet_3GE077_4,Jet Gasoline and Aviation Gasoline,,,CO,27.46,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-n,Tier 2 Emission Factor,B743_BOEING_Jet_3GE077_4,Jet Gasoline and Aviation Gasoline,,,NOx,47.54,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-n,Tier 2 Emission Factor,B743_BOEING_Jet_3GE077_4,Jet Gasoline and Aviation Gasoline,,,H2O,3781.71,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-i,Tier 2 Emission Factor,A346_AIRBUS_Jet_8RR045_4,Jet Gasoline and Aviation Gasoline,,,CO2,10624.82,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-i,Tier 2 Emission Factor,A346_AIRBUS_Jet_8RR045_4,Jet Gasoline and Aviation Gasoline,,,HC,0.23,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-j,Tier 2 Emission Factor,A380_AIRBUS_Jet_8RR046_4,Jet Gasoline and Aviation Gasoline,,,NOx,67.26,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-j,Tier 2 Emission Factor,A380_AIRBUS_Jet_8RR046_4,Jet Gasoline and Aviation Gasoline,,,H2O,5095.15,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-ac,Tier 2 Emission Factor,T39_SABRELINER_Jet_1AS002_2,Jet Gasoline and Aviation Gasoline,,,HC,0.79,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-s,Tier 2 Emission Factor,B763_BOEING_Jet_12PW101_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.16,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-t,Tier 2 Emission Factor,B772_BOEING_Jet_8GE100_2,Jet Gasoline and Aviation Gasoline,,,NOx,61.24,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-u,Tier 2 Emission Factor,B773_BOEING_Jet_2RR027_2,Jet Gasoline and Aviation Gasoline,,,NOx,52.8,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-o,Tier 2 Emission Factor,B744_BOEING_Jet_2GE045_4,Jet Gasoline and Aviation Gasoline,,,H2O,4083.21,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-o,Tier 2 Emission Factor,B744_BOEING_Jet_2GE045_4,Jet Gasoline and Aviation Gasoline,,,HC,2.05,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-p,Tier 2 Emission Factor,B752_BOEING_Jet_5RR038_2,Jet Gasoline and Aviation Gasoline,,,CO2,4292.19,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-p,Tier 2 Emission Factor,B752_BOEING_Jet_5RR038_2,Jet Gasoline and Aviation Gasoline,,,HC,0.17,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-q,Tier 2 Emission Factor,B753_BOEING_Jet_5RR039_2,Jet Gasoline and Aviation Gasoline,,,NOx,17.85,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-z,Tier 2 Emission Factor,E175_EMBRAER_Jet_8GE108_2,Jet Gasoline and Aviation Gasoline,,,NOx,4.44,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-z,Tier 2 Emission Factor,E175_EMBRAER_Jet_8GE108_2,Jet Gasoline and Aviation Gasoline,,,H2O,592.32,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-z,Tier 2 Emission Factor,E175_EMBRAER_Jet_8GE108_2,Jet Gasoline and Aviation Gasoline,,,CO,4.11,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-z,Tier 2 Emission Factor,E175_EMBRAER_Jet_8GE108_2,Jet Gasoline and Aviation Gasoline,,,HC,0.04,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-aa,Tier 2 Emission Factor,F27_FOKKER_Turboprop_Turboprop_2,Jet Gasoline and Aviation Gasoline,,,NOx,0.3,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-v,Tier 2 Emission Factor,B77W_BOEING_Jet_7GE099_2,Jet Gasoline and Aviation Gasoline,,,CO2,9736.15,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-w,Tier 2 Emission Factor,B788_BOEING_Jet_11GE136_2,Jet Gasoline and Aviation Gasoline,,,CO2,10944.46,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-e,Tier 2 Emission Factor,A332_AIRBUS_Jet_14RR071_2,Jet Gasoline and Aviation Gasoline,,,NOx,35.32,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-e,Tier 2 Emission Factor,A332_AIRBUS_Jet_14RR071_2,Jet Gasoline and Aviation Gasoline,,,SOx,1.82,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-d,Tier 2 Emission Factor,A320_AIRBUS_Jet_3CM026_2,Jet Gasoline and Aviation Gasoline,,,NOx,11.28,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-g,Tier 2 Emission Factor,A343_AIRBUS_Jet_2CM015_4,Jet Gasoline and Aviation Gasoline,,,H2O,2484.46,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-a,Tier 2 Emission Factor,A306_AIRBUS_Jet_1PW048_2,Jet Gasoline and Aviation Gasoline,,,CO2,5427.89,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-a,Tier 2 Emission Factor,A306_AIRBUS_Jet_1PW048_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.14,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-b,Tier 2 Emission Factor,A310_AIRBUS_Jet_2GE037_2,Jet Gasoline and Aviation Gasoline,,,CO2,4821.24,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-d,Tier 2 Emission Factor,A320_AIRBUS_Jet_3CM026_2,Jet Gasoline and Aviation Gasoline,,,SOx,0.69,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-g,Tier 2 Emission Factor,A343_AIRBUS_Jet_2CM015_4,Jet Gasoline and Aviation Gasoline,,,TSP,0.5,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-b,Tier 2 Emission Factor,A310_AIRBUS_Jet_2GE037_2,Jet Gasoline and Aviation Gasoline,,,NOx,18.68,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-k,Tier 2 Emission Factor,B737_BOEING_Jet_3CM032_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.07,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-l,Tier 2 Emission Factor,B738_BOEING_Jet_8CM051_2,Jet Gasoline and Aviation Gasoline,,,CO,7.07,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-m,Tier 2 Emission Factor,B742_BOEING_Jet_3GE077_4,Jet Gasoline and Aviation Gasoline,,,TSP,0.29,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-ac,Tier 2 Emission Factor,T39_SABRELINER_Jet_1AS002_2,Jet Gasoline and Aviation Gasoline,,,CO,4.51,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-y,Tier 2 Emission Factor,DC10_MCDONNELL DOUGLAS_Jet_3GE074_3,Jet Gasoline and Aviation Gasoline,,,TSP,0.22,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-x,Tier 2 Emission Factor,DC8_MCDONNELL DOUGLAS_Jet_1CM003_4,Jet Gasoline and Aviation Gasoline,,,CO2,5339.85,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-x,Tier 2 Emission Factor,DC8_MCDONNELL DOUGLAS_Jet_1CM003_4,Jet Gasoline and Aviation Gasoline,,,NOx,15.62,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-y,Tier 2 Emission Factor,DC10_MCDONNELL DOUGLAS_Jet_3GE074_3,Jet Gasoline and Aviation Gasoline,,,NOx,35.65,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-t,Tier 2 Emission Factor,B772_BOEING_Jet_8GE100_2,Jet Gasoline and Aviation Gasoline,,,HC,0.44,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-r,Tier 2 Emission Factor,B762_BOEING_Jet_1GE012_2,Jet Gasoline and Aviation Gasoline,,,NOx,23.76,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-o,Tier 2 Emission Factor,B744_BOEING_Jet_2GE045_4,Jet Gasoline and Aviation Gasoline,,,H2O,4083.21,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-p,Tier 2 Emission Factor,B752_BOEING_Jet_5RR038_2,Jet Gasoline and Aviation Gasoline,,,SOx,1.14,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-q,Tier 2 Emission Factor,B753_BOEING_Jet_5RR039_2,Jet Gasoline and Aviation Gasoline,,,H2O,1800.28,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-q,Tier 2 Emission Factor,B753_BOEING_Jet_5RR039_2,Jet Gasoline and Aviation Gasoline,,,HC,0.11,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-r,Tier 2 Emission Factor,B762_BOEING_Jet_1GE012_2,Jet Gasoline and Aviation Gasoline,,,CO2,4607.37,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-aa,Tier 2 Emission Factor,F27_FOKKER_Turboprop_Turboprop_2,Jet Gasoline and Aviation Gasoline,,,NOx,0.3,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-ab,Tier 2 Emission Factor,MD11_MCDONNELL DOUGLAS_Jet_2GE049_3,Jet Gasoline and Aviation Gasoline,,,CO,18.28,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-z,Tier 2 Emission Factor,E175_EMBRAER_Jet_8GE108_2,Jet Gasoline and Aviation Gasoline,,,CO2,1516.91,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-x,Tier 2 Emission Factor,DC8_MCDONNELL DOUGLAS_Jet_1CM003_4,Jet Gasoline and Aviation Gasoline,,,CO,26.32,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-y,Tier 2 Emission Factor,DC10_MCDONNELL DOUGLAS_Jet_3GE074_3,Jet Gasoline and Aviation Gasoline,,,CO2,7263.67,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-y,Tier 2 Emission Factor,DC10_MCDONNELL DOUGLAS_Jet_3GE074_3,Jet Gasoline and Aviation Gasoline,,,CO,20.59,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-y,Tier 2 Emission Factor,DC10_MCDONNELL DOUGLAS_Jet_3GE074_3,Jet Gasoline and Aviation Gasoline,,,HC,2.37,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-e,Tier 2 Emission Factor,A332_AIRBUS_Jet_14RR071_2,Jet Gasoline and Aviation Gasoline,,,SOx,1.82,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-f,Tier 2 Emission Factor,A333_AIRBUS_Jet_14RR071_2,Jet Gasoline and Aviation Gasoline,,,H2O,2666.73,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-g,Tier 2 Emission Factor,A343_AIRBUS_Jet_2CM015_4,Jet Gasoline and Aviation Gasoline,,,CO2,6362.65,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-z,Tier 2 Emission Factor,E175_EMBRAER_Jet_8GE108_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.03,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-d,Tier 2 Emission Factor,A320_AIRBUS_Jet_3CM026_2,Jet Gasoline and Aviation Gasoline,,,CO2,2570.93,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-b,Tier 2 Emission Factor,A310_AIRBUS_Jet_2GE037_2,Jet Gasoline and Aviation Gasoline,,,CO,13.92,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-l,Tier 2 Emission Factor,B738_BOEING_Jet_8CM051_2,Jet Gasoline and Aviation Gasoline,,,NOx,12.3,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-l,Tier 2 Emission Factor,B738_BOEING_Jet_8CM051_2,Jet Gasoline and Aviation Gasoline,,,H2O,1083.75,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-m,Tier 2 Emission Factor,B742_BOEING_Jet_3GE077_4,Jet Gasoline and Aviation Gasoline,,,NOx,47.54,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-m,Tier 2 Emission Factor,B742_BOEING_Jet_3GE077_4,Jet Gasoline and Aviation Gasoline,,,H2O,3781.71,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-m,Tier 2 Emission Factor,B742_BOEING_Jet_3GE077_4,Jet Gasoline and Aviation Gasoline,,,CO,27.46,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-m,Tier 2 Emission Factor,B742_BOEING_Jet_3GE077_4,Jet Gasoline and Aviation Gasoline,,,CO2,9684.89,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-i,Tier 2 Emission Factor,A346_AIRBUS_Jet_8RR045_4,Jet Gasoline and Aviation Gasoline,,,CO2,10624.82,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-i,Tier 2 Emission Factor,A346_AIRBUS_Jet_8RR045_4,Jet Gasoline and Aviation Gasoline,,,CO,15.05,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-i,Tier 2 Emission Factor,A346_AIRBUS_Jet_8RR045_4,Jet Gasoline and Aviation Gasoline,,,HC,0.23,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-j,Tier 2 Emission Factor,A380_AIRBUS_Jet_8RR046_4,Jet Gasoline and Aviation Gasoline,,,HC,0.38,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-ab,Tier 2 Emission Factor,MD11_MCDONNELL DOUGLAS_Jet_2GE049_3,Jet Gasoline and Aviation Gasoline,,,HC,1.43,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-ab,Tier 2 Emission Factor,MD11_MCDONNELL DOUGLAS_Jet_2GE049_3,Jet Gasoline and Aviation Gasoline,,,TSP,0.17,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.i.(i),International aviation (LTO),Table_3-4-x,Tier 2 Emission Factor,DC8_MCDONNELL DOUGLAS_Jet_1CM003_4,Jet Gasoline and Aviation Gasoline,,,SOx,1.42,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-s,Tier 2 Emission Factor,B763_BOEING_Jet_12PW101_2,Jet Gasoline and Aviation Gasoline,,,CO2,5449.29,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-t,Tier 2 Emission Factor,B772_BOEING_Jet_8GE100_2,Jet Gasoline and Aviation Gasoline,,,SOx,2.02,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-s,Tier 2 Emission Factor,B763_BOEING_Jet_12PW101_2,Jet Gasoline and Aviation Gasoline,,,HC,7.56,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-s,Tier 2 Emission Factor,B763_BOEING_Jet_12PW101_2,Jet Gasoline and Aviation Gasoline,,,CO,29.65,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-r,Tier 2 Emission Factor,B762_BOEING_Jet_1GE012_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.16,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-v,Tier 2 Emission Factor,B77W_BOEING_Jet_7GE099_2,Jet Gasoline and Aviation Gasoline,,,NOx,69.79,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-t,Tier 2 Emission Factor,B772_BOEING_Jet_8GE100_2,Jet Gasoline and Aviation Gasoline,,,TSP,0.16,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-p,Tier 2 Emission Factor,B752_BOEING_Jet_5RR038_2,Jet Gasoline and Aviation Gasoline,,,CO,12.25,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-p,Tier 2 Emission Factor,B752_BOEING_Jet_5RR038_2,Jet Gasoline and Aviation Gasoline,,,HC,0.17,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-q,Tier 2 Emission Factor,B753_BOEING_Jet_5RR039_2,Jet Gasoline and Aviation Gasoline,,,SOx,1.23,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-z,Tier 2 Emission Factor,E175_EMBRAER_Jet_8GE108_2,Jet Gasoline and Aviation Gasoline,,,H2O,592.32,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-z,Tier 2 Emission Factor,E175_EMBRAER_Jet_8GE108_2,Jet Gasoline and Aviation Gasoline,,,HC,0.04,kg/LTO,,,EUROCONTROL 2016
1.A.3.a.ii.(i),"Civil aviation (domestic, LTO)",Table_3-4-v,Tier 2 Emission Factor,B77W_BOEING_Jet_7GE099_2,Jet Gasoline and Aviation Gasoline,,,CO,47.54,kg/LTO,,,EUROCONTROL 2016
